2024-07-15 13:46:31.298,930,4.55
2024-07-15 13:46:32.300,931,4.55
2024-07-15 13:46:33.310,931,4.55
2024-07-15 13:46:34.309,934,4.57
2024-07-15 13:46:35.320,935,4.57
2024-07-15 13:46:36.316,933,4.56
2024-07-15 13:46:37.318,934,4.57
2024-07-15 13:46:38.326,934,4.57
2024-07-15 13:46:39.330,935,4.57
2024-07-15 13:46:40.334,934,4.57
2024-07-15 13:46:41.343,933,4.56
2024-07-15 13:46:42.336,937,4.58
2024-07-15 13:46:43.336,935,4.57
2024-07-15 13:46:44.350,936,4.57
2024-07-15 13:46:45.344,937,4.58
2024-07-15 13:46:46.362,935,4.57
2024-07-15 13:46:47.358,940,4.59
2024-07-15 13:46:48.363,935,4.57
2024-07-15 13:46:49.364,939,4.59
2024-07-15 13:46:50.376,937,4.58
2024-07-15 13:46:51.377,937,4.58
2024-07-15 13:46:52.371,937,4.58
2024-07-15 13:46:53.376,939,4.59
2024-07-15 13:46:54.391,938,4.58
2024-07-15 13:46:55.394,937,4.58
2024-07-15 13:46:56.394,940,4.59
2024-07-15 13:46:57.395,939,4.59
2024-07-15 13:46:58.395,939,4.59
2024-07-15 13:46:59.400,939,4.59
2024-07-15 13:47:00.398,937,4.58
2024-07-15 13:47:01.434,939,4.59
2024-07-15 13:47:01.434,LDR Value + 1000: 1939,
2024-07-15 13:47:02.416,937,4.58
2024-07-15 13:47:03.423,938,4.58
2024-07-15 13:47:04.427,937,4.58
2024-07-15 13:47:05.421,939,4.59
2024-07-15 13:47:06.425,937,4.58
2024-07-15 13:47:07.425,936,4.57
2024-07-15 13:47:08.441,937,4.58
2024-07-15 13:47:09.445,937,4.58
2024-07-15 13:47:10.443,937,4.58
2024-07-15 13:47:11.443,936,4.57
2024-07-15 13:47:12.447,934,4.57
2024-07-15 13:47:13.456,932,4.56
2024-07-15 13:47:14.460,931,4.55
2024-07-15 13:47:15.461,928,4.54
2024-07-15 13:47:16.461,927,4.53
2024-07-15 13:47:17.461,926,4.53
2024-07-15 13:47:18.463,924,4.52
2024-07-15 13:47:19.481,921,4.50
2024-07-15 13:47:20.483,919,4.49
2024-07-15 13:47:21.482,920,4.50
2024-07-15 13:47:22.485,915,4.47
2024-07-15 13:47:23.495,915,4.47
2024-07-15 13:47:24.496,913,4.46
2024-07-15 13:47:25.493,913,4.46
2024-07-15 13:47:26.492,911,4.45
2024-07-15 13:47:27.496,908,4.44
2024-07-15 13:47:28.500,910,4.45
2024-07-15 13:47:29.516,905,4.42
2024-07-15 13:47:30.510,906,4.43
2024-07-15 13:47:31.525,906,4.43
2024-07-15 13:47:32.550,902,4.41
2024-07-15 13:47:32.550,LDR Value + 1000: 1902,
2024-07-15 13:47:33.533,902,4.41
2024-07-15 13:47:34.525,901,4.40
2024-07-15 13:47:35.531,900,4.40
2024-07-15 13:47:36.534,899,4.39
2024-07-15 13:47:37.539,896,4.38
2024-07-15 13:47:38.541,894,4.37
2024-07-15 13:47:39.546,895,4.37
2024-07-15 13:47:40.548,892,4.36
2024-07-15 13:47:41.555,891,4.35
2024-07-15 13:47:42.561,887,4.34
2024-07-15 13:47:43.556,890,4.35
2024-07-15 13:47:44.557,886,4.33
2024-07-15 13:47:45.573,883,4.32
2024-07-15 13:47:46.573,883,4.32
2024-07-15 13:47:47.577,880,4.30
2024-07-15 13:47:48.572,878,4.29
2024-07-15 13:47:49.580,878,4.29
2024-07-15 13:47:50.580,876,4.28
2024-07-15 13:47:51.588,872,4.26
2024-07-15 13:47:52.594,871,4.26
2024-07-15 13:47:53.604,867,4.24
2024-07-15 13:47:54.602,866,4.23
2024-07-15 13:47:55.607,863,4.22
2024-07-15 13:47:56.616,861,4.21
2024-07-15 13:47:57.618,861,4.21
2024-07-15 13:47:58.618,860,4.20
2024-07-15 13:47:59.627,856,4.18
2024-07-15 13:48:00.626,853,4.17
2024-07-15 13:48:01.622,855,4.18
2024-07-15 13:48:02.631,852,4.16
2024-07-15 13:48:03.661,847,4.14
2024-07-15 13:48:03.661,LDR Value + 1000: 1847,
2024-07-15 13:48:04.630,845,4.13
2024-07-15 13:48:05.648,843,4.12
2024-07-15 13:48:06.647,841,4.11
2024-07-15 13:48:07.655,839,4.10
2024-07-15 13:48:08.653,836,4.09
2024-07-15 13:48:09.653,835,4.08
2024-07-15 13:48:10.655,831,4.06
2024-07-15 13:48:11.657,830,4.06
2024-07-15 13:48:12.658,824,4.03
2024-07-15 13:48:13.668,824,4.03
2024-07-15 13:48:14.671,822,4.02
2024-07-15 13:48:15.670,819,4.00
2024-07-15 13:48:16.686,816,3.99
2024-07-15 13:48:17.692,814,3.98
2024-07-15 13:48:18.685,813,3.97
2024-07-15 13:48:19.698,809,3.95
2024-07-15 13:48:20.699,805,3.93
2024-07-15 13:48:21.696,802,3.92
2024-07-15 13:48:22.707,801,3.91
2024-07-15 13:48:23.701,799,3.91
2024-07-15 13:48:24.707,796,3.89
2024-07-15 13:48:25.708,794,3.88
2024-07-15 13:48:26.713,791,3.87
2024-07-15 13:48:27.724,790,3.86
2024-07-15 13:48:28.729,784,3.83
2024-07-15 13:48:29.730,783,3.83
2024-07-15 13:48:30.735,780,3.81
2024-07-15 13:48:31.730,778,3.80
2024-07-15 13:48:32.732,780,3.81
2024-07-15 13:48:33.738,772,3.77
2024-07-15 13:48:34.763,774,3.78
2024-07-15 13:48:34.763,LDR Value + 1000: 1774,
2024-07-15 13:48:35.757,770,3.76
2024-07-15 13:48:36.753,767,3.75
